order,lesson_id,title,level,level_title,module,status,route,legacy_route,prerequisites
189,"catalysts","Catalysts",8,"Equity Research & Investing","Investment case",outline,"#/lesson/catalysts","#/topic/8-investment-case-catalysts",""
190,"risks","Risks",8,"Equity Research & Investing","Investment case",outline,"#/lesson/risks","#/topic/8-investment-case-risks",""
191,"bear-case","Bear case",8,"Equity Research & Investing","Investment case",outline,"#/lesson/bear-case","#/topic/8-investment-case-bear-case",""
192,"base-case","Base case",8,"Equity Research & Investing","Investment case",outline,"#/lesson/base-case","#/topic/8-investment-case-base-case",""
193,"bull-case","Bull case",8,"Equity Research & Investing","Investment case",outline,"#/lesson/bull-case","#/topic/8-investment-case-bull-case",""
194,"build-interactive-investment-cases","Build interactive investment cases",8,"Equity Research & Investing","Interactive investment cases",outline,"#/lesson/build-interactive-investment-cases","#/topic/8-interactive-investment-cases-build-interactive-investment-cases",""
195,"stocks","Stocks",9,"Markets","Equities",draft,"#/lesson/stocks","#/topic/9-equities-stocks",""
196,"market-capitalization-equities","Market capitalization",9,"Markets","Equities",draft,"#/lesson/market-capitalization-equities","#/topic/9-equities-market-capitalization",""
197,"bonds","Bonds",9,"Markets","Fixed income",draft,"#/lesson/bonds","#/topic/9-fixed-income-bonds",""
198,"yield","Yield",9,"Markets","Fixed income",draft,"#/lesson/yield","#/topic/9-fixed-income-yield",""
199,"yield-curves","Yield curves",9,"Markets","Fixed income",draft,"#/lesson/yield-curves","#/topic/9-fixed-income-yield-curves",""
200,"duration","Duration",9,"Markets","Fixed income",draft,"#/lesson/duration","#/topic/9-fixed-income-duration",""
201,"convexity","Convexity",9,"Markets","Fixed income",draft,"#/lesson/convexity","#/topic/9-fixed-income-convexity",""
202,"credit","Credit",9,"Markets","Fixed income",outline,"#/lesson/credit","#/topic/9-fixed-income-credit",""
203,"interest-rates","Interest rates",9,"Markets","Macro & currencies",outline,"#/lesson/interest-rates","#/topic/9-macro-currencies-interest-rates",""
204,"central-banks","Central banks",9,"Markets","Macro & currencies",outline,"#/lesson/central-banks","#/topic/9-macro-currencies-central-banks",""
205,"fx","FX",9,"Markets","Macro & currencies",outline,"#/lesson/fx","#/topic/9-macro-currencies-fx",""
206,"commodities","Commodities",9,"Markets","Macro & currencies",outline,"#/lesson/commodities","#/topic/9-macro-currencies-commodities",""
207,"derivatives","Derivatives",9,"Markets","Derivatives",outline,"#/lesson/derivatives","#/topic/9-derivatives-derivatives",""
208,"options","Options",9,"Markets","Derivatives",draft,"#/lesson/options","#/topic/9-derivatives-options",""
209,"futures","Futures",9,"Markets","Derivatives",draft,"#/lesson/futures","#/topic/9-derivatives-futures",""
210,"liquidity","Liquidity",9,"Markets","Market mechanics",draft,"#/lesson/liquidity","#/topic/9-market-mechanics-liquidity",""
211,"volatility","Volatility",9,"Markets","Market mechanics",draft,"#/lesson/volatility","#/topic/9-market-mechanics-volatility",""
212,"options-pricing","Options pricing",10,"Advanced Finance","Options & portfolio theory",outline,"#/lesson/options-pricing","#/topic/10-options-portfolio-theory-options-pricing",""
213,"black-scholes-intuition","Black-Scholes intuition",10,"Advanced Finance","Options & portfolio theory",outline,"#/lesson/black-scholes-intuition","#/topic/10-options-portfolio-theory-black-scholes-intuition",""
214,"greeks","Greeks",10,"Advanced Finance","Options & portfolio theory",outline,"#/lesson/greeks","#/topic/10-options-portfolio-theory-greeks",""
215,"portfolio-theory","Portfolio theory",10,"Advanced Finance","Options & portfolio theory",outline,"#/lesson/portfolio-theory","#/topic/10-options-portfolio-theory-portfolio-theory",""
216,"capm-portfolio-theory","CAPM",10,"Advanced Finance","Options & portfolio theory",draft,"#/lesson/capm-portfolio-theory","#/topic/10-options-portfolio-theory-capm",""
217,"efficient-frontier","Efficient frontier",10,"Advanced Finance","Options & portfolio theory",draft,"#/lesson/efficient-frontier","#/topic/10-options-portfolio-theory-efficient-frontier",""
218,"sharpe-ratio","Sharpe ratio",10,"Advanced Finance","Options & portfolio theory",draft,"#/lesson/sharpe-ratio","#/topic/10-options-portfolio-theory-sharpe-ratio",""
219,"beta-portfolio-theory","Beta",10,"Advanced Finance","Options & portfolio theory",draft,"#/lesson/beta-portfolio-theory","#/topic/10-options-portfolio-theory-beta",""
220,"alpha","Alpha",10,"Advanced Finance","Options & portfolio theory",outline,"#/lesson/alpha","#/topic/10-options-portfolio-theory-alpha",""
221,"factor-investing","Factor investing",10,"Advanced Finance","Options & portfolio theory",outline,"#/lesson/factor-investing","#/topic/10-options-portfolio-theory-factor-investing",""
222,"risk-management","Risk management",10,"Advanced Finance","Risk & simulation",outline,"#/lesson/risk-management","#/topic/10-risk-simulation-risk-management",""
223,"var","VaR",10,"Advanced Finance","Risk & simulation",draft,"#/lesson/var","#/topic/10-risk-simulation-var",""
224,"scenario-analysis-risk","Scenario analysis",10,"Advanced Finance","Risk & simulation",outline,"#/lesson/scenario-analysis-risk","#/topic/10-risk-simulation-scenario-analysis",""
225,"monte-carlo-simulation","Monte Carlo simulation",10,"Advanced Finance","Risk & simulation",draft,"#/lesson/monte-carlo-simulation","#/topic/10-risk-simulation-monte-carlo-simulation",""
226,"capital-structure","Capital structure",10,"Advanced Finance","Corporate finance",draft,"#/lesson/capital-structure","#/topic/10-corporate-finance-capital-structure",""
227,"cost-of-capital","Cost of capital",10,"Advanced Finance","Corporate finance",draft,"#/lesson/cost-of-capital","#/topic/10-corporate-finance-cost-of-capital",""
